ST	CARRIER	PLANID	PLANNAME	NETWK	AREA	PREMI27	PREMI50	PREMC2C30	PREMI2C30	INMDI	INMDIA	INMDI_TIERS	INMDIA_2	INDDI	INDDIA	INIDI	INIDIA	ONMDI	ONMDIA	ONDDI	ONDDIA	ONIDI	ONIDIA	INMDF	INMDFA	INMDF_TIERS	INMDFA_2	INDDF	INDDFA	INIDF	INIDFA	ONMDF	ONMDFA	ONDDF	ONDDFA	ONIDF	ONIDFA	INMMOOPI	INMMOOPI_TIERS	INMMOOPI_2	INDMOOPI	INIMOOPI	ONMMOOPI	ONMMOOPIA	ONDMOOPI	ONIMOOPI	INMMOOPF	INMMOOPF_TIERS	INMMOOPF_2	INDMOOPF	INDMOOPFA	INIMOOPF	ONMMOOPF	ONMMOOPFA	ONDMOOPF	ONIMOOPF	INPCCP	INPCCPA	INPCCPSC	INPCCP_TIERS	INPCCPA_2	INPCCI	INPCCIA	INPCCIA_CP	INPCCI_TIERS	INPCCI_TIER2CP	INPCCI_TIER3CP	INPCCI_TIER4CP	INPCCI_TIER2CI	INPCCI_TIER3CI	INPCCI_TIER2	INPCCI_TIER3	INPCCI_TIER4	ONPCCP	ONPCCPA	ONPCCI	ONPCCIA	ONPCCI_PEN	ONPCCIA_CP	ONPCCIA_MIN	ONPCCIA_FIRST	ONPCCIA_SECOND	ONPCCIA_NONPREF	ONPCCIA_NONPART	ONPCCI_TIERS	ONPCCI_TIER2CI	ONPCCI_TIER2	ONPCCI_TIER3	INSCP	INSCPA	INSCP_TIERS	INSCPA_2	INSCI	INSCIA	INSCIA_CP	INSCI_TIERS	INSCI_TIER2CP	INSCI_TIER3CP	INSCI_TIER4CP	INSCI_TIER2CI	INSCI_TIER2	INSCI_TIER3	INSCI_TIER4	ONSCP	ONSCPA	ONSCI	ONSCIA	ONSCI_PEN	ONSCIA_CP	ONSCIA_MIN	ONSCIA_FIRST	ONSCIA_SECOND	ONSCIA_NONPREF	ONSCIA_NONPART	INERCP	INERCPA	INERCP_TIERS	INERCPA_2	INERCPA_3	INERCPA_4	INERCPA_FIRST	INERCI	INERCIA	INERCIA_CP	INERCI_TIERS	INERCI_TIER2CP	INERCI_TIER2CI	INERCI_TIER2	ONERCP	ONERCPA	ONERCP_FIRST	ONERCP_TIERS	ONERCPA_TIER2	ONERCPA_TIER3	ONERCPA_TIER4	ONERCI	ONERCIA	ONERCI_CP	ONERCI_EMC	ONERCIA_EMC	ONERCI_TIERS	ONERCI_TIER2	ONERCIA_TIER2	ONERCIA_TIER2CP	INIFCP	INIFCPA	INIFCI	INIFCIA	INIFCIA_CP	INIFCI_TIERS	INIFCI_TIER2CI	INIFCI_TIER3CI	INIFCI_TIER4CI	INIFCI_TIER2	INIFCI_TIER3	INIFCI_TIER4	ONIFCP	ONIFCPA	ONIFCI	ONIFCIA	ONIFCI_FEE	ONIFCIA_NONPREF	ONIFCIA_NONPART	ONIFCI_CP	INOFCP	INOFCPA	INOFCPA_ASC	INOFCP_TIERS	INOFCP_TIER2	INOFCP_TIER3	INOFCPA_TIER2CP	INOFCPA_TIER3CP	INOFCPA_MIN	INOFCPA_MAX	INOFCI	INOFCIA	INOFCIA_CP	INOFCIA_ASC	INOFCIA_ASC_CP	INOFCI_TIERS	INOFCI_TIER2CI	INOFCI_TIER3CI	INOFCI_TIER4CI	INOFCI_TIER2CP	INOFCI_TIER2	INOFCI_TIER3	INOFCI_TIER4	INOFCIA_MIND	INOFCIA_MAXD	INOFCIA_PREF	INOFCIA_ALT	ONOFCP	ONOFCPA	ONOFCP_ASC	ONOFCI	ONOFCIA	ONOFCI_CP	ONOFCI_FEE	ONOFCIA_NONPREF	ONOFCIA_NONPART	INGDCP	INGDCPA	INGDCP_TIERS	INGDCP_TIER2	INGDCP_TIER3	INGDCP_TIER4	INGDCP_TIER2CP	INGDCP_TIER3CP	INGDCP_TIER4CP	INGDCP_PCP	INGDCP_SP	INGDCI	INGDCIA	ONGDCP	ONGDCPA	ONGDCPA_NONPREF	ONGDCPA_COONP	ONGDCPA_NCOONP	ONGDCPA_FIRST	ONGDCPA_VALUE	ONGDCPA_SELECT	ONGDCI	ONGDCIA	ONGDCIA_CP	ONGDCI_TIERS	ONGDCI_TIER2	ONGDCIA_TIER2	ONGDCIA_TIER2CP	ONGDCIA_PEN	ONGDCIA_TIER2PEN	INPBDCP	INPBDCPA	INPBDCP_TIERS	INPBDCP_TIER2	INPBDCP_TIER3	INPBDCP_TIER4	INPBDCP_TIER2CP	INPBDCP_TIER3CP	INPBDCP_TIER4CP	INPBDCI	INPBDCIA	ONPBDCP	ONPBDCPA	ONPBDCPA_NONPREF	ONPBDCPA_COONP	ONPBDCPA_NCOONP	ONPBDCI	ONPBDCIA	ONPBDCIA_CP	ONPBDCIA_PEN	ONPBDCIA_MINCP	ONPBDCIA_MAXCP	INNBDCP	INNBDCPA	INNBDCP_TIERS	INNBDCP_TIER2	INNBDCP_TIER2CP	INNBDCI	INNBDCIA	INNBDCI_TIERS	INNBDCI_TIER2	INNBDCI_TIER3	INNBDCI_TIER4	INNBDCI_TIER2CI	INNBDCI_TIER3CI	INNBDCI_TIER4CI	INNBDCIA_MIN	ONNBDCP	ONNBDCPA	ONNBDCPA_NONPREF	ONNBDCPA_COONP	ONNBDCPA_NCOONP	ONNBDCI	ONNBDCIA	ONNBDCIA_CP	ONNBDCIA_PEN	ONNBDCIA_MINCP	ONNBDCIA_MAXCP	INSDCP	INSDCPA	INSDCP_TIERS	INSDCP_TIER2	INSDCP_TIER2CP	INSDCI	INSDCIA	INSDCI_TIERS	INSDCI_TIER2	INSDCI_TIER3	INSDCI_TIER4	INSDCI_TIER2CI	INSDCI_TIER3CI	INSDCI_TIER4CI	INSDCIA_MAX	ONSDCP	ONSDCPA	ONSDCPA_GEN	ONSDCPA_PB	ONSDCPA_NP	ONSDCI	ONSDCIA	ONSDCIA_CP	ONSDCIA_MAXCP	METAL	UNIQUEID
IL	Humana Insurance Company	68303IL0680005	Humana National Preferred Silver 3650/3650 Plan	1	7	242.34	412.99	818.5700000000001	556.13	1	3650	0		2		1	3650	1	7300	2		1	7300	1	7300	0		2		1	7300	1	14600	2		1	14600	3650	1			3650	1	14600	2	14600	7300	1		2		7300	1	29200	2	29200	3			0		3			1									0		2	25								1				3		1		3			1								0		2	25								3		1					3			1				3			1				3					1				3		3			1							0		2	25					3			1							3					1												0			2	25					3		1									3		0								1	25		1						3		1							3		0					1	25					3		1			3		1								0					1	25					3		1			3		1								0					1	25			S	IL_1_7_1
LA	Humana Health Benefit Plan of Louisiana, Inc.	44965LA0580005	Humana National Preferred Silver 3650/3650 Plan	1	1	245.14	417.8	828.12	562.61	1	3650	0		2		1	3650	1	7300	2		1	7300	1	7300	0		2		1	7300	1	14600	2		1	14600	3650	1			3650	1	14600	2	14600	7300	1		2		7300	1	29200	2	29200	3			0		3			1									0		2	25								1				3		1		3			1								0		2	25								3		1					3			1				3			1				3					1				3		3			1							0		2	25					3			1							3					1												0			2	25					3		1									3		0								1	25		1						3		1							3		0					1	25					3		1			3		1								0					1	25					3		1			3		1								0					1	25			S	LA_1_1_2
IL	Humana Insurance Company	68303IL0680005	Humana National Preferred Silver 3650/3650 Plan	1	8	272.8	464.91	921.5	626.04	1	3650	0		2		1	3650	1	7300	2		1	7300	1	7300	0		2		1	7300	1	14600	2		1	14600	3650	1			3650	1	14600	2	14600	7300	1		2		7300	1	29200	2	29200	3			0		3			1									0		2	25								1				3		1		3			1								0		2	25								3		1					3			1				3			1				3					1				3		3			1							0		2	25					3			1							3					1												0			2	25					3		1									3		0								1	25		1						3		1							3		0					1	25					3		1			3		1								0					1	25					3		1			3		1								0					1	25			S	IL_1_8_3
IL	Humana Insurance Company	68303IL0680005	Humana National Preferred Silver 3650/3650 Plan	1	1	282.7	481.79	954.96	648.78	1	3650	0		2		1	3650	1	7300	2		1	7300	1	7300	0		2		1	7300	1	14600	2		1	14600	3650	1			3650	1	14600	2	14600	7300	1		2		7300	1	29200	2	29200	3			0		3			1									0		2	25								1				3		1		3			1								0		2	25								3		1					3			1				3			1				3					1				3		3			1							0		2	25					3			1							3					1												0			2	25					3		1									3		0								1	25		1						3		1							3		0					1	25					3		1			3		1								0					1	25					3		1			3		1								0					1	25			S	IL_1_1_4
IL	Humana Insurance Company	68303IL0680005	Humana National Preferred Silver 3650/3650 Plan	1	2	288.86	492.28	975.74	662.9	1	3650	0		2		1	3650	1	7300	2		1	7300	1	7300	0		2		1	7300	1	14600	2		1	14600	3650	1			3650	1	14600	2	14600	7300	1		2		7300	1	29200	2	29200	3			0		3			1									0		2	25								1				3		1		3			1								0		2	25								3		1					3			1				3			1				3					1				3		3			1							0		2	25					3			1							3					1												0			2	25					3		1									3		0								1	25		1						3		1							3		0					1	25					3		1			3		1								0					1	25					3		1			3		1								0					1	25			S	IL_1_2_5
MS	Humana Insurance Company	48963MS0500011	Humana National Preferred Silver 3650/3650 Plan	1	4	294.25	501.47	993.96	675.29	1	3650	0		2		1	3650	1	7300	2		1	7300	1	7300	0		2		1	7300	1	14600	2		1	14600	3650	1			3650	1	14600	2	14600	7300	1		2		7300	1	29200	2	29200	3			0		3			1									0		2	25								1				3		1		3			1								0		2	25								3		1					3			1				3			1				3					1				3		3			1							0		2	25					3			1							3					1												0			2	25					3		1									3		0								1	25		1						3		1							3		0					1	25					3		1			3		1								99					99						3		1			3		1								99					99				S	MS_1_4_6
MS	Humana Insurance Company	48963MS0500011	Humana National Preferred Silver 3650/3650 Plan	1	6	295.95	504.39	999.76	679.23	1	3650	0		2		1	3650	1	7300	2		1	7300	1	7300	0		2		1	7300	1	14600	2		1	14600	3650	1			3650	1	14600	2	14600	7300	1		2		7300	1	29200	2	29200	3			0		3			1									0		2	25								1				3		1		3			1								0		2	25								3		1					3			1				3			1				3					1				3		3			1							0		2	25					3			1							3					1												0			2	25					3		1									3		0								1	25		1						3		1							3		0					1	25					3		1			3		1								99					99						3		1			3		1								99					99				S	MS_1_6_7
MS	Humana Insurance Company	48963MS0500011	Humana National Preferred Silver 3650/3650 Plan	1	5	366.23	624.15	1237.11	840.49	1	3650	0		2		1	3650	1	7300	2		1	7300	1	7300	0		2		1	7300	1	14600	2		1	14600	3650	1			3650	1	14600	2	14600	7300	1		2		7300	1	29200	2	29200	3			0		3			1									0		2	25								1				3		1		3			1								0		2	25								3		1					3			1				3			1				3					1				3		3			1							0		2	25					3			1							3					1												0			2	25					3		1									3		0								1	25		1						3		1							3		0					1	25					3		1			3		1								99					99						3		1			3		1								99					99				S	MS_1_5_8
OR	Moda Health	Not Available	Be Aligned - Rose City PPO 39424OR1150002-01	1	1	159	270	536	364	1	2500	0		2		1	2500	1	5000	2		1	5000	1	5000	0		2		1	5000	1	10000	2		1	10000	6000	1			6000	1	12000	2	12000	12000	1		2		12000	1	24000	2	24000	0			0		8	35	30	1									0		2	50								1				0		1		2	35		1								0		2	50								0		1					2	35		1				0			1				2	35				1				0		2	35		1							0		2	50					0			1							2	35				1												0			2	50					1	10	1									0		1	10							0			1						0		1							1	50	0					1	50					0		1			1	50	1								0					1	50					0		1			1	50	1								0					1	50			S	OR_1_1_9
OR	Moda Health	Not Available	Be Aligned PPO 39424OR1060002-01	1	1	165	281	556	378	1	2500	0		2		1	2500	1	5000	2		1	5000	1	5000	0		2		1	5000	1	10000	2		1	10000	6000	1			6000	1	12000	2	12000	12000	1		2		12000	1	24000	2	24000	0			0		8	35	30	1									0		2	50								1				0		1		2	35		1								0		2	50								0		1					2	35		1				0			1				2	35				1				0		2	35		1							0		2	50					0			1							2	35				1												0			2	50					1	10	1									0		1	10							0			1						0		1							1	50	0					1	50					0		1			1	50	1								0					1	50					0		1			1	50	1								0					1	50			S	OR_1_1_10
