plan.name,prem.only.insured,prem.insured.plus.children,prem.insured.plus.spouse,prem.insured.plus.family,eligible.for.hsa,ded.in.network.individual,ded.in.network.family,ded.out.network.individual,ded.out.network.family,full.ded.before.copay,oop.max.in.network.individual,oop.max.in.network.family,oop.max.out.network.individual,oop.max.out.network.family,family.oop.max.before.individual.100.pct,coinsurance.in.network,coinsurance.out.network
Aetna Medical Bronze,514.44,1263.48,1586.64,2279.4,Yes,3000,6000,3000,6000,No,5950,11900,11900,23800,No,0.8,0.60
CareFirst BCBS Medical Bronze,517.8,1269.48,1593.48,2289,Yes,3000,6000,3000,6000,No,5950,11900,11900,23800,No,0.8,0.60
Health Net Medical Bronze,180,312,360,492,Yes,3000,6000,3000,6000,No,5950,11900,11900,23800,No,0.8,0.60
UnitedHealthcare Medical Bronze,180,312,360,492,Yes,3000,6000,3000,6000,No,5950,11900,11900,23800,No,0.8,0.60
Cigna Medical Bronze,180,312,360,492,Yes,3000,6000,3000,6000,No,5950,11900,11900,23800,No,0.8,0.60
Aetna Medical Bronze Plus,1045.92,2220.24,2702.64,3820.68,Yes,2000,4000,2000,4000,Yes,3425,6850,10000,20000,Yes,0.8,0.60
CareFirst BCBS Medical Bronze Plus,1075.8,2273.88,2765.28,3907.2,Yes,2000,4000,2000,4000,Yes,3425,6850,10000,20000,Yes,0.8,0.60
Health Net Medical Bronze Plus,180,312,360,492,Yes,2000,4000,2000,4000,Yes,3425,6850,10000,20000,Yes,0.8,0.60
UnitedHealthcare Medical Bronze Plus,361.56,988.2,1265.52,1835.88,Yes,2000,4000,2000,4000,Yes,3425,6850,10000,20000,Yes,0.8,0.60
Cigna Medical Bronze Plus,322.92,918.72,1184.4,1723.92,Yes,2000,4000,2000,4000,Yes,3425,6850,10000,20000,Yes,0.8,0.60
Aetna Medical Silver,2045.64,4019.76,4802.16,6719.88,Yes,1500,3000,1500,3000,Yes,3425,6850,7500,15000,Yes,0.8,0.60
CareFirst BCBS Medical Silver,1706.04,3408.24,4088.76,5734.92,Yes,1500,3000,1500,3000,Yes,3425,6850,7500,15000,Yes,0.8,0.60
Health Net Medical Silver,180,312,407.4,650.88,Yes,1500,3000,1500,3000,Yes,3425,6850,7500,15000,Yes,0.8,0.60
UnitedHealthcare Medical Silver,732.48,1656,2044.56,2911.68,Yes,1500,3000,1500,3000,Yes,3425,6850,7500,15000,Yes,0.8,0.60
Cigna Medical Silver,944.64,2037.84,2489.88,3526.8,Yes,1500,3000,1500,3000,Yes,3425,6850,7500,15000,Yes,0.8,0.60
Aetna Medical Gold,4440,8329.56,9830.28,13663.56,No,600,1200,1200,2400,No,3500,7000,7000,14000,No,0.8,0.60
CareFirst BCBS Medical Gold,4334.16,8138.88,9607.8,13356.48,No,600,1200,1200,2400,No,3500,7000,7000,14000,No,0.8,0.60
Health Net Medical Gold,672.96,1548.84,1919.4,2739,No,600,1200,1200,2400,No,3500,7000,7000,14000,No,0.8,0.60
UnitedHealthcare Medical Gold,2450.28,4747.92,5651.88,7893.24,No,600,1200,1200,2400,No,3500,7000,7000,14000,No,0.8,0.60
Cigna Medical Gold,2280,4441.44,5294.16,7399.44,No,600,1200,1200,2400,No,3500,7000,7000,14000,No,0.8,0.60
Aetna Medical Platinum,6744.84,12478.32,14670.48,20347.68,No,0,0,5000,10000,No,1500,3000,10000,20000,No,1.00,0.70
CareFirst BCBS Medical Platinum,5795.16,10768.44,12675.72,17593.08,No,0,0,5000,10000,No,1500,3000,10000,20000,No,1.00,0.70
Health Net Medical Platinum,957.72,2061.48,2517.48,3564.96,No,0,0,5000,10000,No,1500,3000,10000,20000,No,1.00,0.70
UnitedHealthcare Medical Platinum,4317.72,8109.36,9573.36,13308.72,No,0,0,5000,10000,No,1500,3000,10000,20000,No,1.00,0.70
Cigna Medical Platinum,4041.96,7613.16,8994.48,12509.28,No,0,0,5000,10000,No,1500,3000,10000,20000,No,1.00,0.70
